"id","Postcode","Latitude","Longitude","Easting","Northing","GridRef","District","Ward","DistrictCode","WardCode","Country","CountyCode","Constituency","TypeArea"
75,"AB1 0JA",57.108719,-2.228123,386281,801996,"NJ862019","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
76,"AB1 0JB",57.108657,-2.232399,386022,801990,"NJ860019","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
77,"AB1 0JD",57.109681,-2.232554,386013,802104,"NJ860021","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
78,"AB1 0JE",57.108882,-2.236891,385750,802016,"NJ857020","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
79,"AB1 0JG",57.110831,-2.237085,385739,802233,"NJ857022","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
80,"AB1 0JH",57.110886,-2.231637,386069,802238,"NJ860022","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
81,"AB1 0JJ",57.11041,-2.231601,386071,802185,"NJ860021","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
82,"AB1 0JL",57.112907,-2.236916,385750,802464,"NJ857024","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible rural area"
83,"AB1 0JN",57.110701,-2.244002,385320,802220,"NJ853022","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible rural area"
84,"AB1 0JP",57.106698,-2.222927,386595,801770,"NJ865017","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
85,"AB1 0JQ",57.105644,-2.219487,386803,801652,"NJ868016","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
86,"AB1 0JR",57.105041,-2.219962,386774,801585,"NJ867015","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
87,"AB1 0JS",57.106231,-2.223106,386584,801718,"NJ865017","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
88,"AB1 0JT",57.110772,-2.234988,385866,802226,"NJ858022","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
89,"AB1 0JU",57.112005,-2.234087,385921,802363,"NJ859023","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
90,"AB1 0JW",57.111382,-2.235487,385836,802294,"NJ858022","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
91,"AB1 0JX",57.111112,-2.235716,385822,802264,"NJ858022","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
92,"AB1 0JY",57.110198,-2.239244,385608,802163,"NJ856021","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
93,"AB1 0JZ",57.110642,-2.237447,385717,802212,"NJ857022","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
94,"AB1 0LA",57.100942,-2.272063,383616,801140,"NJ836011","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
95,"AB1 0LB",57.101765,-2.27334,383539,801232,"NJ835012","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
96,"AB1 0LD",57.102361,-2.271942,383624,801298,"NJ836012","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
97,"AB1 0LE",57.094139,-2.273218,383543,800383,"NJ835003","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
98,"AB1 0LJ",57.094259,-2.26335,384141,800394,"NJ841003","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible rural area"
99,"AB1 0LL",57.093439,-2.268741,383814,800304,"NJ838003","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible rural area"
100,"AB1 0LN",57.088283,-2.268555,383823,799730,"NO838997","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible rural area"
101,"AB1 0LP",57.09376,-2.269799,383750,800340,"NJ837003","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
102,"AB1 0LQ",57.094156,-2.273433,383530,800385,"NJ835003","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
103,"AB1 0LR",57.095084,-2.272565,383583,800488,"NJ835004","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
104,"AB1 0LS",57.093973,-2.275098,383429,800365,"NJ834003","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible rural area"
105,"AB1 0LT",57.088668,-2.293292,382324,799779,"NO823997","Aberdeenshire","Stonehaven and Lower Deeside"," S12000034","S13002506","Scotland","S99999999","West Aberdeenshire and Kincardine","Accessible rural area"
106,"AB1 0LX",57.097006,-2.272497,383588,800702,"NJ835007","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
107,"AB1 0NA",57.098683,-2.273763,383512,800889,"NJ835008","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
108,"AB1 0NB",57.102377,-2.285246,382818,801303,"NJ828013","Aberdeenshire","Stonehaven and Lower Deeside"," S12000034","S13002506","Scotland","S99999999","West Aberdeenshire and Kincardine","Accessible rural area"
109,"AB1 0ND",57.102921,-2.29451,382257,801366,"NJ822013","Aberdeenshire","Stonehaven and Lower Deeside"," S12000034","S13002506","Scotland","S99999999","West Aberdeenshire and Kincardine","Accessible rural area"
110,"AB1 0NE",57.101554,-2.258417,384443,801205,"NJ844012","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
111,"AB1 0NJ",57.10346,-2.290603,382494,801425,"NJ824014","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible rural area"
112,"AB1 0NL",57.105201,-2.279391,383174,801616,"NJ831016","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible rural area"
113,"AB1 0NN",57.104165,-2.276973,383320,801500,"NJ833015","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
114,"AB1 0NP",57.10478,-2.270639,383704,801567,"NJ837015","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
115,"AB1 0NQ",57.103036,-2.258642,384430,801370,"NJ844013","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
116,"AB1 0NR",57.103036,-2.258642,384430,801370,"NJ844013","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
117,"AB1 0NS",57.107622,-2.269273,383788,801883,"NJ837018","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible rural area"
118,"AB1 0NT",57.107957,-2.276259,383365,801922,"NJ833019","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible rural area"
119,"AB1 0NX",57.106839,-2.286403,382750,801800,"NJ827018","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible rural area"
120,"AB1 0PA",57.110973,-2.285444,382810,802260,"NJ828022","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible rural area"
121,"AB1 0PB",57.125068,-2.296784,382130,803832,"NJ821038","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible rural area"
122,"AB1 0PD",57.119153,-2.294738,382251,803173,"NJ822031","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible rural area"
123,"AB1 0PE",57.126902,-2.280479,383118,804032,"NJ831040","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible rural area"
124,"AB1 0PG",57.108994,-2.286585,382740,802040,"NJ827020","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible rural area"
125,"AB1 0PJ",57.108489,-2.29155,382439,801985,"NJ824019","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible rural area"
126,"AB1 0PL",57.108083,-2.292075,382407,801940,"NJ824019","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible rural area"
127,"AB1 0PN",57.106272,-2.305631,381585,801742,"NJ815017","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible rural area"
128,"AB1 0PP",57.110648,-2.323085,380530,802234,"NJ805022","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible rural area"
129,"AB1 0PQ",57.109443,-2.337306,379668,802104,"NJ796021","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible rural area"
130,"AB1 0PR",57.12131,-2.330229,380103,803423,"NJ801034","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible rural area"
131,"AB1 0PS",57.095928,-2.264039,384100,800580,"NJ841005","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
132,"AB1 0PT",57.09493,-2.264576,384067,800469,"NJ840004","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
133,"AB1 0PU",57.094374,-2.26416,384092,800407,"NJ840004","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
134,"AB1 0PX",57.095415,-2.264745,384057,800523,"NJ840005","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
135,"AB1 0QA",57.095298,-2.26486,384050,800510,"NJ840005","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
136,"AB1 0QB",57.096589,-2.261485,384255,800653,"NJ842006","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
137,"AB1 0QD",57.09722,-2.26045,384318,800723,"NJ843007","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
138,"AB1 0QG",57.096964,-2.262973,384165,800695,"NJ841006","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
139,"AB1 0QJ",57.097785,-2.261098,384279,800786,"NJ842007","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
140,"AB1 0QL",57.096768,-2.257509,384496,800672,"NJ844006","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
141,"AB1 0QN",57.097361,-2.25753,384495,800738,"NJ844007","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
142,"AB1 0QP",57.098229,-2.254945,384652,800834,"NJ846008","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
143,"AB1 0QQ",57.09878,-2.253529,384738,800895,"NJ847008","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
144,"AB1 0QR",57.097603,-2.253356,384748,800764,"NJ847007","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
145,"AB1 0QS",57.097884,-2.252401,384806,800795,"NJ848007","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
146,"AB1 0QT",57.098758,-2.255543,384616,800893,"NJ846008","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
147,"AB1 0QX",57.098904,-2.254009,384709,800909,"NJ847009","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
148,"AB1 0RA",57.099243,-2.255397,384625,800947,"NJ846009","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
149,"AB1 0RB",57.099859,-2.257349,384507,801016,"NJ845010","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
150,"AB1 0RD",57.100712,-2.257339,384508,801111,"NJ845011","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
151,"AB1 0RE",57.102022,-2.266657,383944,801259,"NJ839012","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
152,"AB1 0RF",57.103205,-2.267871,383871,801391,"NJ838013","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
153,"AB1 0RH",57.10212,-2.267351,383902,801270,"NJ839012","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
154,"AB1 0RJ",57.100437,-2.25567,384609,801080,"NJ846010","Aberdeen City","Lower Deeside"," S12000033","S13002484","Scotland","S99999999","Aberdeen South","Accessible small town"
